,Programming Fundamentals,,
Topics,MCQs,True/False Questions:,Descriptive Questions:
Variables and Data Types,Which of the following is not a valid data type in most programming languages? a) Integer b) String c) Boolean d) Character ,True or False: In programming  a variable can store different data types at different times. ,Explain the concept of a variable in programming and provide an example.
Variables and Data Types,"What is the data type of the variable ""price"" if it stores a decimal number? a) Integer b) Float c) String d) Boolean ",True or False: Variable names are case-sensitive in most programming languages.,What is the difference between a variable and a constant?
Variables and Data Types,Which of the following variables stores true/false values? a) Integer b) Float c) Boolean d) String ,True or False: The value of a variable can be changed during program execution.,How do you declare a variable in most programming languages?
Variables and Data Types,In programming  a variable is: a) A fixed value that cannot be changed b) A container for storing data c) A keyword used for loops d) An error in the code ,True or False: A variable must be declared before it can be used.,What is the scope of a variable in programming?
Variables and Data Types,Which of the following is a valid variable name? a) 1count b) total count c) totalCount d) count$ ,True or False: Variables cannot be used to perform calculations in programming.,What are the common rules for naming variables in programming?
Control Structures,Which control structure is used to execute a block of code repeatedly as long as a condition is true? a) if statement b) switch statement c) for loop d) while loop ,"True or False: The ""else if"" statement can be used multiple times in an if-else control structure.","Explain the difference between the ""while"" loop and the ""do-while"" loop."
Control Structures,"What is the purpose of the ""else"" statement in an if-else control structure? a) It is used to repeat a block of code. b) It is used to specify multiple conditions. c) It is used to execute a block of code when the condition is false. d) It is used to skip the rest of the code block. ",True or False: The do-while loop executes the loop body at least once  even if the condition is false. ,"What is the purpose of the ""switch"" statement and how does it work?"
Control Structures,"In a for loop  what does the ""initialization"" step do? a) It sets the loop condition. b) It increments the loop counter. c) It initializes the loop variable. d) It defines the loop body. ",True or False: A switch statement can be used with both numeric and string expressions.,How is a for loop different from a while loop?
Control Structures,"What is the purpose of the ""break"" statement in a loop? a) It ends the loop and transfers control to the next iteration. b) It skips the rest of the code block and continues with the next iteration. c) It exits the loop and transfers control to the next statement after the loop. d) It restarts the loop from the beginning. ","True or False: The ""continue"" statement is used to skip the rest of the code block and continue with the next iteration of the loop.",Explain the concept of nested control structures with an example.
Control Structures,Which control structure is used to select one of many code blocks to execute based on different conditions? a) if statement b) switch statement c) for loop d) while loop ,True or False: An if-else statement can be nested inside another if-else statement.,What are some common mistakes or pitfalls to avoid when using control structures?
Functions,What is a function in programming? a) A variable that stores data b) A conditional statement c) A reusable block of code d) An error in the code ,True or False: A function can only receive input values but cannot return any output.,Explain the difference between a function parameter and an argument.
Functions,What is the purpose of using functions in programming? a) To store data b) To control program flow c) To perform a specific task or calculation d) To print output on the screen ,True or False: The main() function is required in all programming languages.,How do you define a function in most programming languages?
Functions,Which of the following is not a benefit of using functions? a) Code reusability b) Modularity c) Increased code complexity d) Improved code organization ,True or False: A function can be called from within another function.,"What is the difference between the ""return"" statement and the ""print"" statement?"
Functions,What is a parameter in a function? a) The value returned by the function b) The name given to a function c) A value passed into a function d) A condition that determines function execution ,True or False: A function can have multiple return statements.,"What is the concept of a ""void"" function?"
Functions,What is the difference between a function definitionand a function call? a) A function definition is where a function is created and a function call is where it is used.  b) A function definition is where a function is used and a function call is where it is created.  c) A function definition is where a function is modified and a function call is where it is executed.  d) A function definition is where a function is executed and a function call is where it is modified.  ,True or False: Functions cannot be recursive meaning a function cannot call itself. ,How can you pass an array as a parameter to a function?
,Object Oriented Programming,,
Topics,MCQs,True/False Questions:,Descriptive Questions:
Classes and Objects,Which keyword is used to define a class in C++? a) class b) struct c) object d) main ,True or False: Objects are instances of classes.,What is a class in C++?
Classes and Objects,Which access specifier is used to make class members accessible within the class and its derived classes? a) public b) private c) protected d) friend ,True or False: A class can have multiple constructors with different parameter lists.,Explain the concept of object-oriented programming.
Classes and Objects,"Which of the following is a correct way to create an object of a class named ""Person""? a) object Person b) Person obj c) create Person d) new Person ",True or False: In C++,How do you define a member function outside the class declaration?
Classes and Objects,Which operator is used to access member functions and data members of an object? a) . b) -> c) :: d) : ,True or False: Destructors have the same name as the class and are prefixed with a tilde (~).,What is the difference between private and protected and  and public access specifiers in C++? 
Classes and Objects,Which function is automatically called when an object of a class is created? a) initialize() b) main() c) constructor d) destructor ,True or False: The default access specifier for members in a class is protected.,What is a constructor in C++?
Inheritance,Which keyword is used to derive a class from a base class in C++? a) derive b) inherit c) extends d) : ,True or False: Inheritance allows a class to inherit properties and behaviors from another class.,What is inheritance in C++?
Inheritance,Which type of inheritance allows a derived class to inherit from multiple base classes? a) single inheritance b) multiple inheritance c) hierarchical inheritance d) hybrid inheritance ,True or False: A derived class can access private members of its base class.,Explain the types of inheritance supported in C++.
Inheritance,What is the access specifier used when deriving a class privately? a) public b) private c) protected d) friend ,True or False: Multiple inheritance allows a class to inherit from multiple derived classes.,What are access specifiers in inheritance?
Inheritance,Which feature of OOP is demonstrated by inheritance? a) encapsulation b) polymorphism c) abstraction d) data hiding ,True or False: Constructors and destructors are inherited by derived classes.,What is function overriding in inheritance?
Inheritance,Which function is called automatically by the compiler when an object of a derived class is created? a) constructor b) destructor c) main() d) virtual function ,True or False: The derived class is always smaller in size compared to its base class.,How does the virtual keyword impact function behavior in inheritance?
Polymorphism,What is polymorphism in C++? a) The ability to create objects from classes b) The process of hiding data within a class c) The ability of an object to take on many forms d) The process of defining multiple constructors for a class ,True or False: Polymorphism allows a derived class to inherit from multiple base classes.,What is the difference between compile-time polymorphism and runtime polymorphism?
Polymorphism,Which type of polymorphism is achieved through function overloading? a) Compile-time polymorphism b) Runtime polymorphism c) Static polymorphism d) Dynamic polymorphism ,True or False: Virtual functions can be implemented in the base class and overridden in derived classes.,Explain the concept of function overloading in C++.
Polymorphism,What is the purpose of virtual functions in C++? a) To perform type checking at compile-time b) To allow the creation of abstract classes c) To enable late binding and dynamic method dispatch d) To restrict access to class members ,True or False: Polymorphism can be achieved through function overloading and function overriding.,How does function overriding contribute to polymorphism in C++?
Polymorphism,Which keyword is used to override a virtual function in a derived class? a) override b) virtual c) super d) polymorphic ,True or False: Dynamic polymorphism is resolved at compile-time.,What is an abstract class in C++?
